,Software - #,Type,Contact
117,Jedi Knight,Game,LucasArts
118,Jira,Program,Atlassian
119,Software - K,Type,Contact
120,KiCad,Program,KiCad Developers Team
121,Kings Quest 1,Game,Sierra
122,Kings Quest 2,Game,Sierra
123,Kings Quest 3,Game,Sierra
124,Kings Quest 4,Game,Sierra
125,Kings Quest 5,Game,Sierra
126,Kings Quest 6,Game,Sierra
127,Kings Quest 7,Game,Sierra
128,Kings Quest 8,Game,Sierra
129,Kings Quest Collection,Game,Sierra
130,Krita,Program,KDE community
131,Kyrandia,Game,Westwood
132,Software - L,Type,Contact
133,Lands of Lore Guardians of Destiny,Game,Westwood
134,Legacy,Game,Microprose
135,LibreOffice,Program,The Document Foundation
136,Linux,Operating system,Various
137,Lords of Magic,Game,Sierra
138,Lotus Symphony,Program,IBM
139,Software - M,Type,Contact
140,macOS,Operating system,Apple
141,Madden NFL 98,Game,Electronic Arts
142,Madden NFL 99,Game,Electronic Arts
143,Madden NFL 2000,Game,Electronic Arts
144,Magic Carpet,Game,Bullfrog
145,Malwarebytes,Utility,Malwarebytes Inc.
146,Maxthon,Browser,"Maxthon, Ltd."
147,McAfee Virus Scan,Utility,Network Associates
148,MDK,Game,Interplay
149,MDK 2,Game,Interplay
150,Mech Warrior 2,Game,Activision
151,Microsoft Backup,Utility,Microsoft
152,Microsoft Combat Flight Simulator,Game,Microsoft
153,Microsoft Defrag,Utility,Microsoft
154,Microsoft Deadly Tides,Game,Microsoft
155,Microsoft Excel,Program,Microsoft
156,Microsoft Expression Web,Program,Microsoft
157,Microsoft Flight Simulator,Game,Microsoft
158,Microsoft Fury 3,Game,Microsoft
159,Microsoft Office,Program,Microsoft
160,Microsoft OneNote,Program,Microsoft
161,Microsoft Outlook,Program,Microsoft
162,Microsoft Paint,Utility,Microsoft
163,Microsoft Plus!,Utility,Microsoft
164,Microsoft PowerPoint,Program,Microsoft
165,Microsoft Scandisk,Utility,Microsoft
166,Microsoft Teams,Program,Microsoft
167,Microsoft Windows Media Player,Audio,Microsoft
168,Microsoft Word,Program,Microsoft
169,Mine Sweeper,Game,Microsoft
170,MS-DOS,Operating system,Microsoft
171,Myst,Game,Broderbund
172,Software - N,Type,Contact
173,Nascar 4,Game,Sierra
174,Navigator,Utility,Packard Bell
175,NBA Live,Game,Electronic Arts
176,Need 4 Speed,Game,Electronic Arts
177,Netscape,Browser,AOL
178,Nextcloud,Program,"Nextcloud GmbH, Community"
179,NHL,Game,Electronic Arts
180,Nocturne,Game,God games
181,Norton AntiVirus,Utility,Symantec
182,Norton Ghost,Utility,Symantec
183,Notepad,Program,Microsoft
184,Notepad++,Program,
185,Software - O,Type,Contact
186,Obsidian,Game,SegaSoft
187,One Step Backup,Utility,Iomega
188,OpenOffice,Program,Apache
189,Opera,Browser,Opera Software
190,Opposing Force,Game,Sierra
191,Outlook,Program,Microsoft
192,OwnCloud,Program,"ownCloud GmbH, Community"
193,Software - P,Type,Contact
194,PaintTool SAI,Program,SYSTEMAX
195,Partition Magic,Utility,Power Quest
